stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,bt_id
0104,0104,A STREET & 16TH AVENUE NNE,61.20683,-149.882898,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1584,1584
0105,0105,A STREET & 13TH AVENUE NNE,61.210195,-149.883095,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1585,1585
0106,0106,A STREET & 11TH AVENUE NNE,61.212138,-149.883277,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1586,1586
0127,0127,SPENARD & 25TH AVENUE SSW,61.197572,-149.905568,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1587,1587
0128,0128,SPENARD & 27TH AVENUE SSW,61.196082,-149.905579,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1588,1588
0129,0129,SPENARD & BENSON NNW,61.194436,-149.905635,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1589,1589
0130,0130,SPENARD & 30TH AVENUE NNW,61.19314,-149.905568,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1590,1590
0131,0131,SPENARD & 33RD AVENUE NNW,61.190675,-149.907482,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1591,1591
0132,0132,SPENARD & 34TH AVENUE SSW,61.189042,-149.908678,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1592,1592
0133,0133,SPENARD & MINNESOTA ENE,61.186984,-149.912189,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1593,1593
0134,0134,SPENARD & GREENLAND WNW,61.186666,-149.914835,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1594,1594
0135,0135,SPENARD & OREGON WNW,61.186077,-149.918527,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1595,1595
0136,0136,SPENARD & MCRAE WNW,61.185174,-149.923969,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1596,1596
0137,0137,SPENARD & NORTHWOOD ENE,61.183869,-149.927104,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1597,1597
0141,0141,SPENARD & WISCONSIN SSW,61.178722,-149.939618,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1598,1598
0142,0142,SPENARD & BREEZEWOOD SSW,61.17706,-149.942041,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1599,1599
0143,0143,SPENARD & INTL ARPT RD NNW,61.175228,-149.944283,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1600,1600
0154,0154,JEWEL LAKE & RASPBERRY SSW,61.158085,-149.95201,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1608,1608
0156,0156,JEWEL LAKE & STRAWBERRY SSW,61.151514,-149.952125,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1610,1610
0158,0158,JEWEL LAKE & 82ND AVENUE NNW,61.146887,-149.95212,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1612,1612
0162,0162,88TH AVENUE & JEWEL LAKE ESE,61.141015,-149.94999,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1614,1614
0179,0179,DIMOND & MINNESOTA ESE,61.140868,-149.90525,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1621,1621
0189,0189,DIMOND & DIMOND CTR DR WNW,61.144917,-149.87267,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1623,1623
0191,0191,DIMOND & C STREET WNW,61.144912,-149.888768,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1624,1624
0193,0193,DIMOND & MINNESOTA ENE,61.141256,-149.905399,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1625,1625
0195,0195,DIMOND & VICTOR WNW,61.137655,-149.923468,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1627,1627
0198,0198,88TH AVENUE & FOREST VILLAGE ENE,61.141171,-149.933427,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1629,1629
0210,0210,JEWEL LAKE & 88TH AVENUE NNE,61.141705,-149.951684,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1634,1634
0213,0213,JEWEL LAKE & 82ND AVENUE NNE,61.146968,-149.951743,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1636,1636
0215,0215,JEWEL LAKE & STRAWBERRY NNE,61.152487,-149.951629,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1638,1638
0227,0227,SPENARD & INTL ARPT RD NNE,61.17512,-149.943772,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1649,1649
0228,0228,SPENARD & VALLEYWOOD NNE,61.177653,-149.940313,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1650,1650
0229,0229,SPENARD & WISCONSIN NNE,61.17959,-149.938265,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1651,1651
0232,0232,SPENARD & MCKINLEY SSE,61.183984,-149.926171,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1652,1652
0233,0233,SPENARD & TAFT ESE,61.185366,-149.922413,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1653,1653
0234,0234,SPENARD & WYOMING WSW,61.186327,-149.916088,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1654,1654
0235,0235,SPENARD & MINNESOTA ESE,61.186842,-149.911704,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1655,1655
0236,0236,SPENARD & 36TH AVENUE NNE,61.18847,-149.908449,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1656,1656
0237,0237,SPENARD & 33RD AVENUE NNE,61.191293,-149.906626,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1657,1657
0238,0238,SPENARD & Benson Blvd SSE,61.193564,-149.905291,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1658,1658
0239,0239,SPENARD & NORTHERN LIGHTS NNE,61.195857,-149.905288,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1659,1659
0240,0240,SPENARD & 26TH AVE NNE,61.197395,-149.905242,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1660,1660
0245,0245,17TH AVENUE & E STREET WSW,61.205181,-149.89271,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1661,1661
0250,0250,A STREET & 8TH AVENUE NNE,61.215023,-149.883119,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1662,1662
0275,0275,BENSON & SPENARD ESE,61.193943,-149.904488,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1663,1663
0276,0276,BENSON & ARCTIC ESE,61.194139,-149.896939,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1664,1664
0277,0277,BENSON & CHEECHAKO ESE,61.194175,-149.893564,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1665,1665
0278,0278,BENSON & EUREKA ESE,61.194168,-149.88993,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1666,1666
0279,0279,BENSON & C STREET ESE,61.194147,-149.885681,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1667,1667
0280,0280,BENSON & A STREET ESE,61.193691,-149.879827,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1668,1668
0281,0281,BENSON & DENALI ESE,61.193312,-149.875134,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1669,1669
0282,0282,BENSON & NEW SEWARD ESE,61.193323,-149.866475,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1670,1670
0283,0283,BENSON & LATOUCHE ESE,61.194517,-149.85976,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1671,1671
0284,0284,NORTHERN LIGHTS & REDWOOD ESE,61.195305,-149.855217,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1672,1672
0285,0285,NORTHERN LIGHTS & DRAKE WSW,61.195224,-149.846589,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1673,1673
0286,0286,NORTHERN LIGHTS & LAKE OTIS WSW,61.19522,-149.842519,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1674,1674
0291,0291,PROVIDENCE & PIPER ESE,61.187884,-149.827836,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1675,1675
0293,0293,UAA DRIVE & PROVIDENCE NNE,61.190267,-149.82235,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1676,1676
0311,0311,DEBARR & BEAVER ESE,61.209601,-149.76185,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1685,1685
0312,0312,DEBARR & TURPIN ESE,61.209625,-149.754945,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1686,1686
0330,0330,DEBARR & PATTERSON ESE,61.209604,-149.747621,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1694,1694
0331,0331,DEBARR & CREEKSIDE CTR WSW,61.209597,-149.741858,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1695,1695
0356,0356,DEBARR & CREEKSIDE CTR ENE,61.209826,-149.740443,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1698,1698
0364,0364,NORTHERN LIGHTS & AUGUSTINE WNW,61.19545,-149.744502,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1705,1705
0365,0365,NORTHERN LIGHTS & PATTERSON WNW,61.195402,-149.749509,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1706,1706
0366,0366,NORTHERN LIGHTS & BRITTANY WNW,61.1954,-149.755046,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1707,1707
